UID,organisationunitname,lga,ward,year,ANC1,ANCA,IPT1,IPT3,IPT1_per_ANC1,IPT3_per_ANC1,IPT3_per_IPT1,ANC1_per_Preg,IPT3_per_Preg,LLIN_per_Preg
59160213,NA,Akpabuyo,Ikot Nakanda,2022,393,676,401,78,1.020356234096692,0.1984732824427481,0.19451371571072318,NA,NA,NA
27827043,NA,Akpabuyo,Eneyo South,2022,60,157,40,33,0.6666666666666666,0.55,0.825,NA,NA,NA
20955491,NA,Bakassi,Ikot Iwang,2022,51,95,50,3,0.9803921568627451,0.058823529411764705,0.06,NA,NA,NA
86910513,NA,Bakassi,Ekpri Ikang,2022,53,84,42,5,0.7924528301886793,0.09433962264150944,0.11904761904761904,NA,NA,NA
57406671,NA,Bakassi,Ifiang Nsung,2022,72,100,37,17,0.5138888888888888,0.2361111111111111,0.4594594594594595,NA,NA,NA
81787071,NA,Bakassi,Ekpri Ikang,2022,40,132,42,26,1.05,0.65,0.6190476190476191,NA,NA,NA
70265329,NA,Bakassi,Nsidung,2022,16,37,14,10,0.875,0.625,0.7142857142857143,NA,NA,NA
18771401,NA,Bakassi,Esighi,2022,72,86,23,0,0.3194444444444444,0,0,NA,NA,NA
85530079,NA,Bakassi,Ikang,2022,38,92,38,16,1,0.42105263157894735,0.42105263157894735,NA,NA,NA
42377240,NA,Bakassi,Ikang,2022,8,7,4,0,0.5,0,0,NA,NA,NA
29711798,NA,Bakassi,Ine Abasi,2022,61,184,57,40,0.9344262295081968,0.6557377049180327,0.7017543859649122,NA,NA,NA
17084612,NA,Bakassi,Ikot Iwang,2022,55,105,28,0,0.509090909090909,0,0,NA,NA,NA
21238998,NA,Bakassi,Ikang,2022,286,729,259,115,0.9055944055944056,0.4020979020979021,0.444015444015444,NA,NA,NA
19029809,NA,Bakassi,Ikang,2022,58,122,70,9,1.206896551724138,0.15517241379310345,0.12857142857142856,NA,NA,NA
34000957,NA,Bakassi,Ekpri Ikang,2022,134,195,93,7,0.6940298507462687,0.05223880597014925,0.07526881720430108,NA,NA,NA
22304163,NA,Bakassi,Ikot Iwang,2022,46,106,47,5,1.0217391304347827,0.10869565217391304,0.10638297872340426,NA,NA,NA
82573806,NA,Bakassi,Abakpa (Abakaliki),2022,24,81,24,16,1,0.6666666666666666,0.6666666666666666,NA,NA,NA
25308492,NA,Bakassi,Nsidung,2022,38,102,38,14,1,0.3684210526315789,0.3684210526315789,NA,NA,NA
67324882,NA,Bakassi,Abakpa (Abakaliki),2022,39,73,49,1,1.2564102564102564,0.02564102564102564,0.02040816326530612,NA,NA,NA
65559149,NA,Akpabuyo,Ikot Eyo,2022,100,278,98,47,0.98,0.47,0.47959183673469385,NA,NA,NA
44577754,NA,Akpabuyo,Ikot Eyo,2022,90,189,73,33,0.8111111111111111,0.36666666666666664,0.4520547945205479,NA,NA,NA
65310426,NA,Akpabuyo,Ikot Eyo,2022,23,77,23,21,1,0.9130434782608695,0.9130434782608695,NA,NA,NA
54808004,NA,Bakassi,Ifiang Ayong,2022,41,86,41,21,1,0.5121951219512195,0.5121951219512195,NA,NA,NA
31683482,NA,Akpabuyo,Ikot Nakanda,2022,82,190,41,26,0.5,0.3170731707317073,0.6341463414634146,NA,NA,NA
60310140,NA,Akpabuyo,Ikot Nakanda,2022,113,102,47,40,0.415929203539823,0.35398230088495575,0.851063829787234,NA,NA,NA
51438384,NA,Bakassi,Ekpri Ikang,2022,93,139,74,2,0.7956989247311828,0.021505376344086023,0.02702702702702703,NA,NA,NA
45881673,NA,Bakassi,Ifiang Nsung,2022,64,132,44,1,0.6875,0.015625,0.022727272727272728,NA,NA,NA
